transaction_id,original_address,normalized_address,house,street,strtype,apttype,aptnbr,city,state,zip
none-devoe-street-none-brooklyn-ny-11211,Devoe Street,DEVOE ST,,Devoe,Street,,,,,
none-308-north-7th-street-unit-4d-brooklyn-ny-11211,308 North 7th Street Unit 4D,308 N 7TH ST 4D,308,7th,Street,Unit,4D,,,
none-705-driggs-avenue-unit-13-brooklyn-ny-11211,705 Driggs Avenue Unit 13,705 DRIGGS AVE 13,705,Driggs,Avenue,Unit,13,,,
none-131-jackson-street-unit-phb-brooklyn-ny-11211,131 Jackson Street Unit PHB,131 JACKSON ST PHB,131,Jackson,Street,Unit,PHB,,,
none-154-south-3rd-street-unit-24-brooklyn-ny-11211,154 South 3rd Street Unit 24,154 S 3RD ST 24,154,3rd,Street,Unit,24,,,
none-74-jackson-street-unit-1-brooklyn-ny-11211,74 Jackson Street Unit 1,74 JACKSON ST 1,74,Jackson,Street,Unit,1,,,
none-177-hooper-street-none-brooklyn-ny-11211,177 Hooper Street,177 HOOPER ST,177,Hooper,Street,,,,,
none-withers-street-unit-ph3-brooklyn-ny-11211,Withers Street Unit PH3,WITHERS ST PH3,,Withers,Street,Unit,PH3,,,
none-179-woodpoint-road-unit-2c-brooklyn-ny-11211,179 Woodpoint Road Unit 2C,179 WOODPOINT RD 2C,179,Woodpoint,Road,Unit,2C,,,
none-476-union-avenue-unit-ph5a-brooklyn-ny-11211,476 Union Avenue Unit PH5A,476 UNION AVE PH5A,476,Union,Avenue,Unit,PH5A,,,
none-264-north-9th-street-none-brooklyn-ny-11211,264 North 9th Street,264 N 9TH ST,264,9th,Street,,,,,
none-218-north-5th-street-none-brooklyn-ny-11211,218 North 5th Street,218 N 5TH ST,218,5th,Street,,,,,
none-30-bayard-street-unit-5f-brooklyn-ny-11211,30 Bayard Street Unit 5F,30 BAYARD ST 5F,30,Bayard,Street,Unit,5F,,,
none-512-lorimer-street-none-brooklyn-ny-11211,512 Lorimer Street,512 LORIMER ST,512,Lorimer,Street,,,,,
none-bayard-street-unit-2d-brooklyn-ny-11211,Bayard Street Unit 2D,BAYARD ST 2D,,Bayard,Street,Unit,2D,,,
none-jackson-street-unit-2-brooklyn-ny-11211,Jackson Street Unit 2,JACKSON ST 2,,Jackson,Street,Unit,2,,,
none-manhattan-avenue-unit-4f-brooklyn-ny-11211,Manhattan Avenue Unit 4F,MANHATTAN AVE 4F,,Manhattan,Avenue,Unit,4F,,,
none-manhattan-avenue-unit-3f-brooklyn-ny-11211,Manhattan Avenue Unit 3F,MANHATTAN AVE 3F,,Manhattan,Avenue,Unit,3F,,,
none-726-metropolitan-avenue-unit-6-williamsburg-ny-11211,726 Metropolitan Avenue Unit 6,726 METROPOLITAN AVE 6,726,Metropolitan,Avenue,Unit,6,,,
none-manhattan-avenue-none-brooklyn-ny-11211,Manhattan Avenue,MANHATTAN AVE,,Manhattan,Avenue,,,,,
none-maspeth-avenue-unit-2d-brooklyn-ny-11211,Maspeth Avenue Unit 2D,MASPETH AVE 2D,,Maspeth,Avenue,Unit,2D,,,
none-bayard-street-unit-3g-brooklyn-ny-11211,Bayard Street Unit 3G,BAYARD ST 3G,,Bayard,Street,Unit,3G,,,
none-grand-street-none-brooklyn-ny-11211,Grand Street,GRAND ST,,Grand,Street,,,,,
none-division-avenue-unit-16-brooklyn-ny-11211,Division Avenue Unit 16,DIVISION AVE 16,,Division,Avenue,Unit,16,,,
none-skillman-avenue-unit-1a-brooklyn-ny-11211,Skillman Avenue Unit 1A,SKILLMAN AVE 1A,,Skillman,Avenue,Unit,1A,,,
none-bushwick-avenue-unit-7b-brooklyn-ny-11211,Bushwick Avenue Unit 7B,BUSHWICK AVE 7B,,Bushwick,Avenue,Unit,7B,,,
none-north-11th-street-unit-4w-brooklyn-ny-11211,North 11th Street Unit 4W,N 11TH ST 4W,,11th,Street,Unit,4W,,,
none-havemeyer-street-unit-6a-brooklyn-ny-11211,Havemeyer Street Unit 6A,HAVEMEYER ST 6A,,Havemeyer,Street,Unit,6A,,,
none-96-woodpoint-road-unit-2c-brooklyn-ny-11211,96 Woodpoint Road Unit 2C,96 WOODPOINT RD 2C,96,Woodpoint,Road,Unit,2C,,,
none-128-woodpoint-road-unit-5-brooklyn-ny-11211,128 Woodpoint Road Unit 5,128 WOODPOINT RD 5,128,Woodpoint,Road,Unit,5,,,
none-153-south-4th-street-unit-5-williamsburg-ny-11211,153 South 4th Street Unit 5,153 S 4TH ST 5,153,4th,Street,Unit,5,,,
none-north-6th-street-unit-3-brooklyn-ny-11211,North 6th Street Unit 3,N 6TH ST 3,,6th,Street,Unit,3,,,
none-conselyea-street-unit-1-brooklyn-ny-11211,Conselyea Street Unit 1,CONSELYEA ST 1,,Conselyea,Street,Unit,1,,,
none-361-manhattan-avenue-unit-4a-brooklyn-ny-11211,361 Manhattan Avenue Unit 4A,361 MANHATTAN AVE 4A,361,Manhattan,Avenue,Unit,4A,,,
none-30-bushwick-avenue-unit-6b-brooklyn-ny-11211,30 Bushwick Avenue Unit 6B,30 BUSHWICK AVE 6B,30,Bushwick,Avenue,Unit,6B,,,
none-215-north-10th-street-unit-pha-brooklyn-ny-11211,215 North 10th Street Unit PHA,215 N 10TH ST PHA,215,10th,Street,Unit,PHA,,,
none-237-ainslie-street-none-brooklyn-ny-11211,237 Ainslie Street,237 AINSLIE ST,237,Ainslie,Street,,,,,
none-139-skillman-avenue-unit-9a-brooklyn-ny-11211,139 Skillman Avenue Unit 9A,139 SKILLMAN AVE 9A,139,Skillman,Avenue,Unit,9A,,,
none-south-5th-street-unit-c1-brooklyn-ny-11211,South 5th Street Unit C1,S 5TH ST C1,,5th,Street,Unit,C1,,,
none-union-avenue-unit-3c-brooklyn-ny-11211,Union Avenue Unit 3C,UNION AVE 3C,,Union,Avenue,Unit,3C,,,
none-bushwick-avenue-unit-6b-brooklyn-ny-11211,Bushwick Avenue Unit 6B,BUSHWICK AVE 6B,,Bushwick,Avenue,Unit,6B,,,
none-323-south-5th-street-unit-3-brooklyn-ny-11211,323 South 5th Street Unit 3,323 S 5TH ST 3,323,5th,Street,Unit,3,,,
none-bushwick-avenue-unit-4b-brooklyn-ny-11211,Bushwick Avenue Unit 4B,BUSHWICK AVE 4B,,Bushwick,Avenue,Unit,4B,,,
none-30-bushwick-avenue-unit-5a-brooklyn-ny-11211,30 Bushwick Avenue Unit 5A,30 BUSHWICK AVE 5A,30,Bushwick,Avenue,Unit,5A,,,
none-190-south-1st-street-unit-2b-brooklyn-ny-11211,190 South 1st Street Unit 2B,190 S 1ST ST 2B,190,1st,Street,Unit,2B,,,
none-roebling-street-unit-1-brooklyn-ny-11211,Roebling Street Unit 1,ROEBLING ST 1,,Roebling,Street,Unit,1,,,
none-88-withers-street-unit-5e-brooklyn-ny-11211,88 Withers Street Unit 5E,88 WITHERS ST 5E,88,Withers,Street,Unit,5E,,,
none-70-conselyea-street-none-brooklyn-ny-11211,70 Conselyea Street,70 CONSELYEA ST,70,Conselyea,Street,,,,,
none-south-8th-street-unit-1a-brooklyn-ny-11211,South 8th Street Unit 1A,S 8TH ST 1A,,8th,Street,Unit,1A,,,
none-850-metropolitan-avenue-unit-1e-brooklyn-ny-11211,850 Metropolitan Avenue Unit 1E,850 METROPOLITAN AVE 1E,850,Metropolitan,Avenue,Unit,1E,,,
